key,value,description
System.UseRandomNames,TRUE,汎用武将名のランダム生成。TRUE: 外部ファイルからランダム命名、FALSE: 武将Aなど記号的命名
Economy.IncomeGoldRate,0.5,商業に対する金銭収入率。上げると金銭収入増『インフレ化』、下げると金欠になり難易度上昇
Economy.IncomeRiceRate,10,石高に対する兵糧収入率。上げると9月の兵糧収入増、下げると兵糧不足で戦争継続が困難に
Economy.IncomeFluctuation,0.15,収入のランダム変動幅。上げると収入が不安定になり運要素が増す、下げると計算通りの収入になる
Economy.ConsumeRicePerSoldier,0.05,兵士一人あたりの兵糧消費。上げると大軍の維持が困難になる、下げると兵糧を気にせず兵を抱えられる
Economy.ConsumeGoldPerBusho,50,武将一人あたりの金銭消費。上げると武将を多く抱えるコスト増、下げると人員維持が楽になる
Economy.BaseDevelopment,10,開発の基礎値。上げると能力の低い武将でも開発が進みやすくなる、下げると政治力が低いと開発が進まない
Economy.PoliticsEffect,0.6,開発時の政治力の影響係数。上げると武将の「政治」能力の重要性が増す、下げると能力差による効率差が縮まる
Economy.DevelopFluctuation,0.15,開発効果の変動幅。上げると開発成果にムラが出る、下げると毎回安定した数値が出る
Economy.BaseRepair,20,修復の基礎値。上げると城壁修復が早くなる、下げると修復に時間がかかり防御回復が遅れる
Economy.RepairEffect,0.6,修復時の政治力の影響係数。上げると修復における「政治」能力の依存度が高まる
Economy.RepairFluctuation,0.15,修復効果の変動幅。上げると修復値がバラつく、下げると安定する
Economy.BaseCharity,10,施しの基礎値。上げると民忠誠を上げやすくなる、下げると一揆対策等のコストが嵩む
Economy.CharmEffect,0.4,施し時の魅力の影響係数。上げると「魅力」が高い武将の施し効果が激増する
Economy.CharityFluctuation,0.15,施し効果の変動幅。上げると民忠上昇値が不安定になる
Economy.TradeRateMin,0.5,相場の最小値。上げると米価暴落時の底値が上がり金策しやすくなる、下げると米が紙屑同然になるリスク増
Economy.TradeRateMax,3,相場の最大値。上げると米が高騰した際に莫大な利益が出る、下げると相場変動の幅が狭まる
Economy.TradeFluctuation,0.15,相場の変動幅。上げると毎月の相場変動が激しくなる、下げると相場が固定化される
Military.DraftBase,50,徴兵の基礎値。上げると金銭あたりの徴兵数が増え大軍を作りやすい、下げると兵士を集めるのが困難になる
Military.DraftStatBonus,1.5,徴兵時の能力補正最大倍率。上げると担当武将の能力による徴兵数の差が広がる
Military.DraftPopBonusFactor,0.00005,徴兵時の人口ボーナス係数。上げると人口の多い豊かな城での徴兵数が激増する
Military.DraftFluctuation,0.15,徴兵数の変動幅。上げると集まる兵数にランダム性が増す
Military.BaseTraining,0,訓練の基礎値。上げると低能力武将でも訓練可能、下げると「統率」「武力」依存度が増す
Military.TrainingLdrEffect,0.3,訓練時の統率影響。上げると「統率」が高い武将の訓練効率が上がる
Military.TrainingStrEffect,0.2,訓練時の武力影響。上げると「武力」が高い武将の訓練効率が上がる
Military.TrainingFluctuation,0.15,訓練効果の変動幅。上げると訓練上昇値がバラつく
Military.BaseMorale,0,士気上げ基礎値。上げると誰でも士気を上げやすい、下げると能力依存度が増す
Military.MoraleLdrEffect,0.2,士気上げ時の統率影響。上げると「統率」が高い武将の効果増
Military.MoraleCharmEffect,0.2,士気上げ時の魅力影響。上げると「魅力」が高い武将の効果増
Military.MoraleFluctuation,0.2,士気上げ変動幅。上げると士気上昇値がバラつく
Military.WarMaxRounds,10,合戦の最大ラウンド数。上げると決着がつくまで戦う泥沼化傾向、下げると引き分けが増え守備側有利に
Military.DamageSoldierPower,0.05,ダメージ計算時の兵数影響。上げると「兵の数」が強さに直結する、下げると武将の能力や相性が重要になる
Military.WallDefenseEffect,0.5,ダメージ計算時の城壁防御効果。上げると城壁『防御度』がある状態での被ダメージが減り、攻城戦が長引く
Military.DamageFluctuation,0.2,ダメージ乱数幅。上げると戦闘結果が運に左右されやすくなる『番狂わせ増』、下げると能力通りの結果になる
Military.FactionBonus,1.1,相性一致時の部隊能力ボーナス。上げると同じ主義『革新/保守』で組んだ部隊がより強力になる
Military.FactionPenalty,0.8,相性不一致時の部隊能力ペナルティ。下げると主義が合わない部隊を組んだ時の弱体化が激しくなる
Strategy.InvestigateDifficulty,50,調査の基本難易度。上げると調査「潜入」の失敗率が上がる、下げると成功しやすくなる
Strategy.InciteFactor,150,扇動の難易度係数。上げると扇動成功率が下がる『難化』、下げると扇動が決まりやすくなる
Strategy.RumorFactor,50,流言の難易度係数。上げると流言成功率が下がる『難化』、下げると流言で敵将の忠誠を下げやすくなる
Strategy.EmploymentDiff,1.5,登用難易度係数。上げると敵武将の引き抜き・登用が難しくなる、下げると簡単に人材を集められる
Strategy.HeadhuntBaseDiff,50,引抜の基本難易度。上げると引き抜き成功率の基礎値が下がる『難化』
Strategy.HeadhuntGoldEffect,0.01,引抜時の金銭効果係数。上げると積んだ金銭の額による成功率上昇効果が高まる
Strategy.HeadhuntGoldMaxEffect,15,引抜時の金銭効果最大値。上げると金銭で解決できる成功率の上限が増える
Strategy.HeadhuntIntWeight,0.8,引抜時の知略重み。上げると実行武将の「知略」が成功率に大きく影響する
Strategy.HeadhuntLoyaltyWeight,1,引抜時の忠誠重み。上げると相手の「忠誠」が高い場合のガードが堅くなる
Strategy.HeadhuntDutyWeight,0.8,引抜時の義理重み。上げると相手の「義理」堅さが引き抜き難易度に強く影響する
Strategy.RewardBaseEffect,10,褒美の基本効果。上げると少額の褒美でも忠誠が上がりやすくなる
Strategy.RewardGoldFactor,0.1,褒美の金銭係数。上げると金を多く積めば忠誠が上がりやすくなる、下げると金による上昇幅が減る
Strategy.RewardDistancePenalty,0.2,褒美時の相性距離ペナルティ。上げると大名と相性が悪い・主義が違う武将の忠誠が上がりにくくなる
Strategy.AffinityLordWeight,0.5,引抜計算(旧主相性)。上げると、今の主君と相性が良い武将は引き抜きにくくなる
Strategy.AffinityNewLordWeight,0.6,引抜計算(新主相性)。上げると、自分『勧誘側大名』と相性が良い武将は引き抜きやすくなる
Strategy.AffinityDoerWeight,0.4,引抜計算(実行者相性)。上げると、勧誘に行く武将と相手の個人的相性が重要になる
Strategy.SchemeSuccessRate,0.25,合戦中の計略成功率基準。上げると戦闘中の「謀略」が成功しやすくなる、下げると失敗リスク増
AI.Difficulty,normal,AIの難易度設定。easy:判断ミス多め/normal:標準/hard:賢く好戦的・資源管理徹底
AI.Aggressiveness,1,AIの攻撃性閾値。★重要：上げるとAIが好戦的になり頻繁に侵攻判定を行う、下げると大人しくなる
AI.SoldierSendRate,0.8,AIの出兵率。上げるとAIは城を空にして全軍で攻めてくる、下げると守備兵を多く残すようになる
AI.AbilityBase,50,AI能力判定の基準値。AIが武将を評価する基準点。変更時はバランス注意
AI.AbilitySensitivity,2,AIの能力評価感度。上げるとAIが高能力武将を適切に運用する確率が上がる、下げるとAIが武将の質を無視する
AI.GunshiBiasFactor,0.5,軍師情報のバイアス係数。上げると軍師の助言が不正確になる傾向、下げると正確になる ※現在ロジックでの適用度低
AI.GunshiFairnessFactor,0.01,軍師の誠実さ係数。上げると軍師の性格による嘘が減る ※現在ロジックでの適用度低
AI.WarHighIntThreshold,80,合戦AIの高知能判定ライン。上げるとAIが「賢い戦術『計略等』」を使う条件が厳しくなる＝脳筋AI化、下げると多くのAIが計略を使う
AI.DiplomacyChance,0.3,AI外交発生率。上げるとAIが頻繁に親善や同盟を行う、下げると外交をしなくなる
AI.GoodwillThreshold,40,AI親善閾値。上げるとAIは友好度が高くてもまだ親善金を送ってくる、下げるとすぐ満足して親善をやめる
AI.AllianceThreshold,70,AI同盟閾値。上げるとAIが同盟を申し込むのに必要な友好度が高くなる『同盟しづらい』、下げるとすぐ同盟する
AI.BreakAllianceDutyFactor,0.5,AI同盟破棄の義理影響。上げると義理堅い大名AIは同盟を破棄しなくなる、下げると義理を無視して裏切る
AI.RiskAversion,2,AIのリスク回避度。★重要：上げると自軍の損害を嫌い、慎重になる。下げると特攻しやすくなる。
AI.WinBonus,1000,AIの勝利確信ボーナス。上げると「勝てそう」と判断した時に積極的に攻めるようになる。
AI.AttackThreshold,300,AIの攻撃判定スコア閾値。上げると、かなり有利でないと攻め込まなくなる。
War.ChargeMultiplier,1.5,合戦：突撃の攻撃倍率。上げると突撃ダメージが増加
War.ChargeRisk,1.8,合戦：突撃の反撃リスク係数。上げると突撃失敗時に受ける被害が増える
War.ChargeSoldierDmgRate,1,合戦：突撃時の対兵士ダメージ倍率。上げると兵士へのダメージが増える
War.ChargeWallDmgRate,0.1,合戦：突撃時の対城壁ダメージ倍率。上げると城壁へのダメージが増える
War.BowMultiplier,0.6,合戦：斉射の攻撃倍率。上げると遠距離攻撃が強くなる
War.BowRisk,0.5,合戦：斉射の反撃リスク係数。下げると斉射がより安全になる
War.SiegeMultiplier,1,合戦：城攻めの対兵士攻撃倍率。上げると城攻めで兵士も減らせるようになる
War.SiegeWallRate,0.5,合戦：城攻めの対城壁倍率。上げると城壁を破壊しやすくなる
War.SiegeRisk,10,合戦：城攻めの反撃リスク係数。上げると城攻め時の被害が増える
War.DefChargeMultiplier,1.2,合戦：守備側突撃の攻撃倍率。上げると守備側の反撃ダメージが増加
War.DefChargeRisk,2,合戦：守備側突撃の反撃リスク係数。上げると守備側が突撃した際、逆に受ける被害が激増する
War.DefBowMultiplier,0.5,合戦：守備側斉射の攻撃倍率。上げると守備側の弓攻撃が強くなる
War.RojoDamageReduction,0.7,合戦：籠城時の被ダメージ係数。下げると籠城した際に受けるダメージがさらに減る『0.1で1割』
War.SchemeDamageFactor,4,合戦：謀略のダメージ係数。上げると知略差による謀略ダメージが増える
War.FireSuccessBase,0.25,合戦：火計の成功率基礎値。上げると火計が成功しやすくなる
War.FireDamageFactor,0.8,合戦：火計のダメージ係数。上げると火計による城壁・兵士ダメージが増える
War.RepairMaxSoldiers,500,合戦：補修コマンドで投入できる最大兵士数。上げると一度に多大なコストを払えるようになる
War.RepairSoldierFactor,0.05,合戦：補修における兵士数の重要度。上げると投入した兵士の数が回復量に大きく影響する
War.RepairMainPolFactor,0.25,合戦：補修における最高内政官の重要度。上げると最も政治の高い武将の能力が回復量に大きく直結する
War.RepairSubPolFactor,0.05,合戦：補修における補佐武将の内政重要度。上げるとその他武将の政治力の合計が回復量に影響する
War.RepairGlobalMultiplier,0.4,合戦：補修の全体回復量倍率。上げると全体的に回復量が増える。バランス調整用
War.CounterAtkPowerFactor,0.05,合戦：反撃ダメージ計算時の敵攻撃力・防御力の影響係数。上げると攻撃力が高い相手に迂闊に攻めると大被害を受ける
War.RetreatRecoveryRate,0.3,戦後：短期撤退時の兵士回復率。短期決戦で撤退した場合の負傷兵復活率
War.ShortWarTurnLimit,5,戦後：短期決戦とみなすターン数。このラウンド未満で撤退すると兵が多く戻る
War.BaseRecoveryRate,0.2,戦後：通常時の兵士回復率。全滅または長期戦撤退時の負傷兵復活率
War.RetreatCaptureRate,0.1,戦後：撤退時の武将捕縛確率。上げると撤退戦でも武将が捕まりやすくなる
